Date,Type,Route Name,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft),Average Heart Rate (bpm),Notes,GPX File
2014-03-10 18:03:05,Running,,1.51,17:29,11:33,5.20,131.0,26.98,,,2014-03-10-1803.gpx
2014-03-08 11:21:11,Running,,3.51,42:00,11:59,5.01,295.0,31.86,,,2014-03-08-1121.gpx
2014-03-06 17:50:27,Running,,1.52,17:53,11:48,5.09,128.0,19.89,,,2014-03-06-1750.gpx
2014-03-04 17:35:51,Running,,3.01,34:37,11:31,5.21,340.0,392.10,,,2014-03-04-1735.gpx
2014-03-03 13:27:00,Running,,1.50,19:00,12:40,4.74,115.0,,,,
2014-03-02 11:48:18,Hiking,,6.83,3:24:51,29:59,2.00,626.0,343.79,,,2014-03-02-1148.gpx
2014-03-01 17:20:11,Hiking,,4.07,1:36:55,23:50,2.52,325.0,117.85,,,2014-03-01-1720.gpx
2014-02-28 17:15:16,Running,,3.01,35:52,11:56,5.03,261.0,74.18,,":\",2014-02-28-1715.gpx
2014-02-27 17:52:00,Running,,1.52,17:26,11:30,5.21,130.0,22.18,,":)",2014-02-27-1752.gpx
2014-02-25 18:10:51,Running,,3.02,34:58,11:36,5.17,256.0,35.73,,,2014-02-25-1810.gpx
2014-02-24 18:01:38,Running,,1.50,16:02,10:41,5.62,121.0,16.41,,,2014-02-24-1801.gpx
2014-02-23 18:24:18,Walking,,1.22,26:14,21:36,2.78,78.0,26.32,,"We actually went twice this distance but Tabby decided to restart. Booo. So total of 2.44 mi I'd say!",2014-02-23-1824.gpx
2014-02-23 17:58:38,Walking,,0.38,8:09,21:15,2.82,26.0,15.44,,,2014-02-23-1758.gpx
2014-02-22 21:30:24,Walking,,1.77,32:37,18:26,3.25,109.0,19.12,,,2014-02-22-2130.gpx
2014-02-21 17:46:23,Walking,,1.80,36:06,20:04,2.99,116.0,18.73,,,2014-02-21-1746.gpx
2014-02-20 17:42:38,Walking,,0.90,16:29,18:23,3.26,56.0,13.18,,,2014-02-20-1742.gpx
2014-02-20 17:18:00,Running,,2.02,23:40,11:44,5.11,176.0,53.11,,,2014-02-20-1718.gpx
2014-02-18 18:05:25,Walking,,0.66,12:12,18:34,3.23,42.0,18.82,,,2014-02-18-1805.gpx
2014-02-18 17:22:44,Running,,3.02,39:55,13:14,4.53,252.0,122.55,,,2014-02-18-1722.gpx
2014-02-17 18:11:33,Walking,,1.75,37:26,21:25,2.80,147.0,220.40,,,2014-02-17-1811.gpx
2014-02-17 18:11:12,Walking,,0.03,0:15,7:46,7.72,3.0,4.00,,,2014-02-17-1811.gpx
2014-02-16 14:42:25,Running,,4.01,54:05,13:29,4.45,314.0,78.27,,,2014-02-16-1442.gpx
2014-02-13 17:46:34,Running,,2.51,45:39,18:10,3.30,201.0,141.06,,"Damn rocks and hills",2014-02-13-1746.gpx
2014-02-11 18:27:48,Running,,2.01,23:13,11:32,5.20,169.0,27.27,,,2014-02-11-1827.gpx
2014-02-10 20:24:14,Walking,,1.73,34:16,19:47,3.03,150.0,259.90,,,2014-02-10-2024.gpx
2014-02-10 20:24:14,Walking,,1.42,27:25,19:22,3.10,88.0,18.15,,,2014-02-10-2024.gpx
2014-02-09 09:25:59,Hiking,,4.16,2:34:15,37:06,1.62,393.0,155.62,,,2014-02-09-0925.gpx
2014-02-08 16:18:38,Hiking,,0.50,27:19,55:03,1.09,83.0,93.58,,,2014-02-08-1618.gpx
2014-02-08 11:12:14,Hiking,,5.42,3:51:39,42:44,1.40,569.0,274.03,,,2014-02-08-1112.gpx
2014-02-03 20:33:02,Walking,,1.77,32:02,18:08,3.31,115.0,18.27,,,2014-02-03-2033.gpx
2014-02-03 13:08:26,Running,,2.52,31:50,12:37,4.76,209.0,52.94,,,2014-02-03-1308.gpx
2014-02-02 21:44:14,Walking,,1.76,28:32,16:15,3.69,111.0,17.73,,"In the 30s",2014-02-02-2144.gpx
2014-02-01 22:07:00,Walking,,0.70,13:37,19:30,3.08,43.0,7.18,,,2014-02-01-2207.gpx
2014-01-31 15:10:59,Running,,4.01,49:52,12:25,4.83,330.0,77.82,,"Hips sore",2014-01-31-1510.gpx
2014-01-30 20:30:56,Walking,,1.75,36:25,20:45,2.89,111.0,16.78,,,2014-01-30-2030.gpx
2014-01-29 12:23:46,Running,,2.02,25:50,12:49,4.68,165.0,39.36,,"Aweful",2014-01-29-1223.gpx
2014-01-27 20:18:29,Walking,,1.79,33:22,18:39,3.22,108.0,19.27,,,2014-01-27-2018.gpx
2014-01-27 13:13:38,Running,,2.52,31:30,12:31,4.79,281.0,369.20,,,2014-01-27-1313.gpx
2014-01-25 17:52:19,Walking,,2.19,42:44,19:29,3.08,139.0,24.94,,,2014-01-25-1752.gpx
2014-01-25 13:14:58,Running,,3.01,36:16,12:03,4.98,251.0,64.77,,,2014-01-25-1314.gpx
2014-01-24 18:58:19,Walking,,1.79,32:50,18:22,3.27,110.0,18.45,,"Cooold!",2014-01-24-1858.gpx
2014-01-22 21:40:23,Walking,,1.52,25:53,17:02,3.52,97.0,18.73,,,2014-01-22-2140.gpx
2014-01-22 12:00:07,Running,,2.31,28:14,12:14,4.91,196.0,49.03,,,2014-01-22-1200.gpx
2014-01-21 20:21:48,Walking,,1.72,30:19,17:38,3.40,112.0,18.48,,,2014-01-21-2021.gpx
2014-01-13 14:12:20,Running,,2.01,22:28,11:12,5.36,174.0,29.00,,,2014-01-13-1412.gpx
2014-01-11 12:59:22,Walking,,6.26,3:13:05,30:50,1.95,462.0,204.79,,"With Shane and lisa",2014-01-11-1259.gpx
2014-01-09 21:09:23,Walking,,1.15,21:16,18:28,3.25,72.0,14.30,,,2014-01-09-2109.gpx
2014-01-09 12:42:51,Running,,4.01,52:12,13:01,4.61,322.0,80.00,,"Lungs on fire",2014-01-09-1242.gpx
2014-01-08 21:44:40,Walking,,1.78,31:32,17:46,3.38,110.0,19.00,,,2014-01-08-2144.gpx
2014-01-08 12:54:00,Walking,,2.01,1:06:55,33:15,1.80,161.0,128.00,,,2014-01-08-1254.gpx
2014-01-07 20:38:31,Walking,,1.81,32:45,18:09,3.31,115.0,18.36,,,2014-01-07-2038.gpx
2014-01-07 13:32:30,Walking,,0.50,7:50,15:40,3.83,27.0,9.70,,,2014-01-07-1332.gpx
2014-01-06 10:48:06,Walking,,3.95,1:20:38,20:26,2.94,238.0,30.20,,,2014-01-06-1048.gpx
2014-01-05 13:52:56,Running,,4.01,47:29,11:50,5.07,318.0,32.00,,"Pretty OK. Njceand cool today",2014-01-05-1352.gpx
2014-01-03 12:46:30,Walking,,1.21,28:05,23:13,2.58,77.0,8.67,,"Walk to the dogs",2014-01-03-1246.gpx
2014-01-02 11:20:10,Running,,0.95,11:24,12:03,4.98,77.0,5.18,,,2014-01-02-1120.gpx
2014-01-01 15:28:17,Walking,,1.07,29:02,27:13,2.20,71.0,10.91,,,2014-01-01-1528.gpx
2013-12-31 12:35:04,Running,,3.01,37:36,12:30,4.80,237.0,20.45,,"Still a bit sniffly añurt knee rock climbing yesterday",2013-12-31-1235.gpx
2013-12-29 16:13:29,Walking,,1.25,21:45,17:26,3.44,65.0,6.89,,"Walked the dog",2013-12-29-1613.gpx
2013-12-29 15:28:22,Running,,2.01,25:12,12:32,4.79,161.0,17.03,,"Still a bit of a runny nose. Took claritin d",2013-12-29-1528.gpx
2013-12-28 13:44:00,Walking,,1.00,20:46,20:50,2.88,60.0,6.45,,"Walked dog, still sick",2013-12-28-1344.gpx
2013-12-27 16:45:46,Walking,,1.22,28:59,23:46,2.53,75.0,6.56,,"Dog walk",2013-12-27-1645.gpx
2013-12-23 13:00:14,Walking,,1.31,29:43,22:46,2.64,82.0,7.82,,,2013-12-23-1300.gpx
2013-12-22 14:18:01,Walking,,3.35,1:04:52,19:22,3.10,295.0,525.00,,,2013-12-22-1418.gpx
2013-12-21 17:35:35,Walking,,1.76,48:06,27:16,2.20,131.0,18.64,,,2013-12-21-1735.gpx
2013-12-21 14:20:45,Walking,,0.49,8:26,17:15,3.48,31.0,9.91,,,2013-12-21-1420.gpx
2013-12-20 15:54:59,Walking,,1.80,40:05,22:18,2.69,114.0,17.00,,"Watered plants",2013-12-20-1554.gpx
2013-12-20 13:34:12,Running,,2.61,36:06,13:50,4.34,206.0,52.83,,"Horrible :(",2013-12-20-1334.gpx
2013-12-19 20:42:24,Walking,,1.84,34:35,18:45,3.20,111.0,19.09,,,2013-12-19-2042.gpx
2013-12-18 21:22:41,Walking,,1.77,32:26,18:20,3.27,109.0,19.09,,,2013-12-18-2122.gpx
2013-12-18 13:27:13,Walking,,4.06,1:17:49,19:09,3.13,273.0,117.98,,,2013-12-18-1327.gpx
2013-12-18 12:49:55,Running,,2.96,36:35,12:23,4.85,249.0,88.94,,,2013-12-18-1249.gpx
2013-12-17 20:51:29,Walking,,1.79,31:51,17:48,3.37,159.0,18.36,,,2013-12-17-2051.gpx
2013-12-17 15:51:11,Walking,,1.87,47:51,25:32,2.35,184.0,22.73,,,2013-12-17-1551.gpx
